id,condition,judgeData,guide1,guide1PosX,guide1PosY,guide2,guide2PosX,guide2PosY,guide2Type,proprity,isCore,icon,name
id,任务描述,是否需要校验玩家数据,是否有1级指引（主界面）,位置1,位置2,是否有2级指引（系统）,位置3,位置4,2级指引类型,优先级,是否核心玩法内容,任务图标,人物名称
1,进行匹配对战%d次,0,1,537.54,472.05,1,448.44,400,1,4,1,missionIco1.png,匹配对战
2,进行%d次荣誉竞技场对战,0,1,537.54,472.05,1,988.44,200,1,2,1,missionIco2.png,无道具对战
3,开启房间对战%d次,0,1,537.54,472.05,1,988.44,500,1,3,1,missionIco3.png,开房对战
4,任意对战胜利%d次,0,1,537.54,472.05,0,448.44,400,1,4,1,missionIco4.png,对战模式
5,副本闯关消灭%d个小兵,0,0,0,0,0,0,0,0,0,1,missionIco5.png,歼灭敌军（闯关）
6,副本闯关占领%d个建筑,0,0,0,0,0,0,0,0,0,1,missionIco5.png,占领建筑（闯关）
7,多人对战消灭%d个小兵,0,0,0,0,1,448.44,400,1,4,1,missionIco5.png,歼灭敌军（对战）
8,多人对战占领%d个建筑,0,0,0,0,1,448.44,400,1,4,1,missionIco5.png,占领建筑（对战）
9,使用%d次道具,0,0,0,0,1,448.44,400,1,4,1,missionIco6.png,使用道具
10,美味大冒险推进%d关,0,1,160,450,0,0,0,0,0,0,missionIco5.png,啦啦啦
11,评星增加%d颗,0,1,160,450,0,0,0,0,0,0,missionIco5.png,啦啦啦
12,升级%d次雕文,0,1,586.03,120,0,0,0,0,0,0,missionIco5.png,啦啦啦
